name,lat,lng
D.I. Alue Peudeung,4.905598,97.077673
D.I.R. Tanjung Sejaro,-2.968142,104.73091
D.I.R. Parebok,-2.957959,112.927809
D.I.R. Kuala Jelai,-2.954167,110.761667
D.I. Paluh Manan,3.75116,98.57783
