D.I.R. Py. Lubang,103.083889,-1.688611
D.I.R. Py. Sei Payung,102.872778,-1.670278
D.I.R. Py. Pelumpung,103.007222,-1.658333
D.I.R. Py. Saken Seberang,102.851389,-1.655278
D.I. Sei. Keluru,101.505556,-2.176944
D.I. Sei. Air Lingkat,101.546111,-2.229167
D.I. Sei. Talang Aro,101.541,-2.2587
D.I. Batu Lumut,101.4075,-2.074167
D.I. Jembatan Serong,101.425,-2.083889
D.I. Sei Bungkal,101.3895453,-2.043936771
D.I. Simpang III,101.411667,-2.045833
D.I.R. Pasir Putih,103.802778,-1.266944
D.I. Makroman,117.2506058,-0.511603915
D.I. Kutai Lama,117.3339,-0.575060006
D.I.R. Sungai Rambut,104.153889,-1.230278
D.I.R. Simbur Naik,103.9725,-1.071667
D.I.R. Sungai Raya,103.284081,-0.833611
D.I. Kutai Lama,117.3324832,-0.576162515
D.I.R. Teluk Nilau,103.244117,-0.856389
D.I. Sidomulyo A,117.268257,-0.54979
D.I. Semangkok,117.435674,-0.121249
D.I.R. Sungai Tuak,116.211427,-1.91526
D.I.R. Suliliran,116.255467,-1.925452
D.I.R. Jone Rantau Panjang,116.254996,-1.840767
D.I. Sepaso Barat,117.54005,0.755795
D.I.R. Telago Limo,104.133333,-1.263056
D.I.R. Sungai Palas,104.197778,-1.167778
D.I. Selangkau,117.855731,0.839025
D.I.R. Py. Danau Embat,103.175556,-1.651111
D.I.R. Py. Bencah,102.802778,-1.653056
D.I.R. Py. Sei Aur,103.170556,-1.669444
D.I. Karmeo,103.045833,-1.796389
D.I.R. Py. Kacung,103.303611,-1.687778
D.I.R. Py. Lebar,102.869444,-1.654444
D.I.R. Py. Lebar Belakang Dusun,102.778889,-1.664167
D.I.R. Py. Lubuk Jeramun,102.876667,-1.695556
D.I.R. Py. Sei Lais II,103.041667,-1.691111
D.I.R. Py. Sei Lantang,103.058333,-1.704722
D.I.R. Py. Sei Napal,103.003889,-1.686944
D.I.R. Py. Sei Payung,102.873056,-1.670833
D.I.R. Py. Penghujan,103.4225,-1.491944
D.I.R. Py. Sei Pedak,103.04,-1.675556
D.I.R. Py. Sei Rumbai,103.044444,-1.691944
D.I.R. Py. Tunggul Buto,103.016111,-1.847222
D.I.R. Kumpeh,103.9498675,-1.410099133
D.I.R. Niaso,103.6191273,-1.539994817
D.I.R. Senaung,103.560556,-1.551944
D.I.R. Sungai Rambai,103.049722,-0.852222
D.I.R. Teluk Ketapang,103.107778,-0.809722
D.I. Pagar Puding,102.360833,-1.368056
D.I.R. Rawa Jone,116.249843,-1.90933
D.I. Temiang Mali I,110.078133,0.118042
D.I.R. Sungai Pinyuh Komplek,109.112629,0.230857
D.I.R. Tebas sungai,109.159984,1.202027
D.I. Sebandang,110.111473,-0.122557
D.I. Madong,111.540924,-0.843565
D.I.R. Tekarang Komplek,109.122352,1.260324
D.I. Tambak Rawang,109.933711,-1.217111
D.I. Tolang,98.5149,1.9837
D.I.R. Selakau Komplek,109.025503,1.071978
D.I.R. Meranti Paham,100.18815,2.384317
D.I.R. Sei Siarti,100.23083,2.26688
D.I. Nalawo,97.898,0.9073
D.I. Laehuwa,97.457767,1.456803
D.I.R. Dungun Laut,109.038884,1.296721
D.I. Tanjung,110.121144,0.089736
D.I.R. Penepat Komplek,109.241036,0.192737
D.I.R. Purun Hulu,109.153931,0.22656
D.I.R. Segedong,109.173066,0.176003
D.I. Empirang Pokok I,110.125556,0.152287
D.I.R. Siduk,110.0779,-1.348694
D.I.R. Sepinggan,109.0814,1.1315
D.I. Kaubun,117.848371,1.033041
D.I.R. Tebas Komplek,109.145455,1.194254
D.I. Empu Engkiyang,110.090432,0.17147
D.I.R. Purun Hulu,109.152196,0.225427
D.I. Sebandang,110.111594,-0.122974
D.I.R. Sungai Paduan,109.792826,-1.011899
D.I.R. Samustida,109.23924,1.567322
D.I. Tekang,111.639442,0.091904
D.I. Dusun Petai,109.636667,0.282105
D.I. Mungguk Pelancar,110.954369,-0.023653
D.I.R. Jawai Komplek,109.049136,1.240266
D.I. Kenukut,111.633352,0.065209
D.I. Mentubang,109.94285,-1.18064
D.I. Dusun Petai,109.637069,0.282906
D.I. Sei Sualang,102.271111,-2.423889
D.I. Rawang Ujo,102.737222,-2.290556
D.I.R. Jawai Komplek,109.035771,1.273286
D.I. Serang,111.173579,-0.067077
D.I. Dusun Petai,109.636809,0.276896
D.I. Lirang,109.399721,0.61771
D.I. Mawang,111.582725,-0.790934
D.I. Dano,109.327302,0.550684
D.I. Duri,111.601165,-0.799049
D.I. Lancak,110.071295,0.057296
D.I.R. Jungkat Komplek,109.193083,0.081014
D.I. Suka Maju Luansara,113.121646,0.809548
D.I.R. Semelagi Komplek,109.001617,1.049922
D.I.R. Melapi Komplek,112.971602,0.827202
D.I. Selalong I,110.889953,0.01443
D.I. Sangku I,109.999708,0.20771
D.I.R. Sungai Paduan,109.799439,-1.016014
D.I.R. Tanjung Baik Budi,110.059861,-1.48265
D.I.R. Kuala Satong,110.081515,-1.396038
D.I. Bagam,110.909444,0.058056
D.I. Setor Karya Sp.5,110.956367,0.21805
D.I. Landau Kodah I,110.915618,0.120006
D.I. Semabi,110.8674,0.1042
D.I. Nanga Pemubuh,111.056775,-0.109567
D.I. Setawar,110.999246,-0.13115
D.I.R. Sungai Puteri,110.041155,-1.620096
D.I.R. Kuala Tolak,110.06894,-1.442556
D.I. Mawan,112.362723,0.486455
D.I. Nanga Nyabau,112.704878,1.014193
D.I. Lumut,110.073059,-0.180008
D.I. Lanso,109.642993,0.355879
D.I. Empirang Ujung,110.135668,0.18231
d.i. Manjang,110.879511,-0.204268
D.I. Senyabang,110.171071,0.18903
D.I. Angkaras,109.60604,0.592765
D.I. Sum Sum,109.470557,0.319617
D.I. Napal,109.38561,0.602179
D.I. Pak Liung,109.585671,0.134481
D.I. Mamek Mandor,109.449549,0.313083
D.I. Kayu Ara Jelimpo,110.086921,0.292847
D.I. Bagak,109.695197,0.552098
D.I. Simpang Pana,109.469232,0.331571
D.I. Jelayan Semade Hilir,109.48117,0.72819
D.I. Ringo Hilir,109.552503,0.61613
D.I. Emparu,111.824516,0.078888
D.I. Kebong,111.648,0.057606
D.I. Manter,111.489584,-0.073628
D.I. Bukit Kelam,111.670843,0.092149
